"PERMNO","Company Name","Ticker","SP500 Start","SP500 End"
"21573","INTERNATIONAL PAPER CO","IP","Dec. 31, 1925","Dec. 31, 2024"
"21776","EXELON CORP","EXC","June 7, 1944","Dec. 31, 2024"
"21792","CENTERPOINT ENERGY INC","CNP","July 25, 1985","Dec. 31, 2024"
"21936","PFIZER INC","PFE","March 1, 1957","Dec. 31, 2024"
"22103","EMERSON ELECTRIC CO","EMR","Jan. 7, 1965","Dec. 31, 2024"
"22111","JOHNSON & JOHNSON","JNJ","May 31, 1973","Dec. 31, 2024"
"22293","CORNING INC","GLW","March 1, 1957","Dec. 31, 2024"
"22509","P P G INDUSTRIES INC","PPG","March 1, 1957","Dec. 31, 2024"
"22517","P P L CORP","PPL","Nov. 27, 1995","Dec. 31, 2024"
"22592","3M CO","MMM","March 1, 1957","Dec. 31, 2024"
"22752","MERCK & CO INC NEW","MRK","March 1, 1957","Dec. 31, 2024"
"22779","MOTOROLA INC","MOT","March 1, 1957","Dec. 31, 2024"
"22840","SARA LEE CORP","SLE","Sept. 10, 1981","June 28, 2012"
"23026","FIRSTENERGY CORP","FE","July 10, 1957","Dec. 31, 2024"
"23077","HEINZ H J CO","HNZ","March 1, 1957","June 6, 2013"
"23085","SCANA CORP NEW","SCG","Jan. 2, 2009","Dec. 31, 2018"
"23114","PROGRESS ENERGY INC","PGN","Aug. 24, 1989","June 29, 2012"
"23229","C M S ENERGY CORP","CMS","May 3, 1999","Dec. 31, 2024"
"23473","CINCINNATI FINANCIAL CORP","CINF","Dec. 18, 1997","Dec. 31, 2024"
"23501","PEPCO HOLDINGS INC","POM","Nov. 9, 2007","March 29, 2016"
"23536","WISCONSIN ENERGY CORP","WEC","Oct. 31, 2008","Dec. 31, 2024"
"23579","TEXTRON INC","TXT","Oct. 5, 1978","Dec. 31, 2024"
"23660","CINTAS CORP","CTAS","March 1, 2001","Dec. 31, 2024"
