Model,Strategy,Leg,Return,Vol
MAT,conviction,Long,0.040016315350014486,0.07355274789486607
MAT,conviction,Short,-0.018381632672462008,0.07176752815186045
Canonical,smart_decay,Long,0.03006535498958227,0.06894831781896366
Canonical,smart_decay,Short,-0.01854083852650115,0.0761776323683298
