Model,Strategy,Sharpe,Ann. Return,Turnover
MAT,h1_only,0.5183816309095423,0.05031452114421921,101.54413901229819
MAT,h1_h5_mean,0.25897046988442074,0.025617248509845515,55.5343945917938
MAT,h1_h10_mean,0.16930442540227758,0.016854420333060793,42.09710415513277
MAT,smart_decay,0.3025552563515458,0.02995203802566075,68.43256044160701
MAT,conviction,0.5306523134444229,0.05117760445394923,99.10456070279015
Canonical,h1_only,0.17897210171991257,0.01699793883863236,123.34519654398233
Canonical,h1_h5_mean,0.23675253644478544,0.02307225707487191,86.76527703282332
Canonical,h1_h10_mean,0.20065772994790523,0.019551785459541005,74.85647634570813
Canonical,smart_decay,0.27959200653933813,0.027261649910056137,96.82858694504903
Canonical,conviction,0.16557299445906482,0.015188446235467046,116.89255982334493
